ID,Comment,Likes Count,Comment Timestamp,postTitle,Comment URL,Post URL,Annot 1,Annot 2,Annot 3,Final Annotation,Source,,
01JH5143P80SGYFZMT6A3WST44,nuk e di pse me votu ata jetojn jasht vendit  ska vler vota si me votu i vdekuri,1,2025-01-09 07:58:05+00:00,KQZ-ja ka dhënë disa këshilla se si të votohet me postë.,https://www.facebook.com/nacionalecom/posts/pfbid02ahjVDi3MAuuJtZ3bQ26bMxwuhLx5EeP5VfS3kjYjRKE1PNivsa7M66fCHuS7dVcwl?comment_id=964350652240022,https://www.facebook.com/nacionalecom/posts/923585383290481,,0,,0,NACIONALE,,
01JH541760TNFWZ0G1A37SEJZH,Po qa je kah thu eiiiijjjjj po krejt kosova ka qen në ldk po me humben jet të presidentit historik rugova dalja e ushtris qlirimtare në sken politike ldk u rrenu e prejt ktyre të gjitha partive si kan santazhu vendtn hajnit e atyre si skan qen të kyqur ne politik atëher ka lulzu lvv me prisin me te min në historin mbi 100 vjeqare albin kurti e mos dil me fol kur nuk din ta menagjosh emisjonin trullana,0,2025-01-09 08:48:56+00:00,"“VV-ja e sulmon LDK-në sepse shumicën e elektoratit e ka nga ajo parti” – Shala: E sheh si rrezik 

#kanal10 #adresa",https://www.facebook.com/Kanal10.live/videos/3965556597098898/?comment_id=579738551691331,https://www.facebook.com/Kanal10.live/videos/3965556597098898/,,2,,2,KANAL_10,,
01JH59NMM0NCNMAG1AAVTW1Y3A,Ma të mëdha janë gjasat që unë të bëhem Astronaut se që ju t'i fitoni zgjedhjet.,8,2025-01-09 10:27:28+00:00,"""Gjasat që LDK-ja t’i fitojë zgjedhjet janë shumë të mëdha"", parashikimi i Kujtim Shalës në Debat Plus",https://www.facebook.com/dukagjinidebatplus/videos/900505492296819/?comment_id=1115050353153174,https://www.facebook.com/dukagjinidebatplus/videos/900505492296819/,,0,,0,DEBAT_PLUS,,
01JH5A1W78M31DEH4FH5JR99W7,"Rugova nuk ka mbajt debate edhe ne fushate kur dilke veq na pershendetke per 20 minuta e vazhdoke ne tubimet tjera  , se fitoren e dijke te sigurt qe e ka , te njejen po e bene edhe Albin Kurti por kesaj radhe na ka qit kusht per gjyserm milioni vota !!!",1,2025-01-09 10:34:09+00:00,Ajo e përmendi edhe ikjen nga Kuvendi e nga Prokuroria.,https://www.facebook.com/nacionalecom/posts/pfbid02LqcsdTvmb3RmeF1zo3mMxwFuZCwBB7pauXJH2M3rPzGu5X58zbW6tBh8AvGjKRwMl?comment_id=1803607713736924,https://www.facebook.com/nacionalecom/posts/pfbid0GzBASnzwjeKp2Js3o52sphK4vH8241fZNGmsKnwSH4zrMMcr7jidHArKJWX7VsWRl,,0,,0,NACIONALE,,
01JH5AA0Z0MC63KKH66SH6QPKX,Edhe Ty spot len Kurti me flejt aaaa ,0,2025-01-09 10:38:36+00:00,"“Mos u rrëmbeni nga urrejta”-Ahmeti ka një porosi për debatet politike ""të bojkotuara"" nga pushteti

#kanal10 #adresa",https://www.facebook.com/Kanal10.live/videos/1313850386316878/?comment_id=592706120384968,https://www.facebook.com/Kanal10.live/videos/1313850386316878/,,0,,0,KANAL_10,,
01JH5ABAYRN2Z39TQR7WXNCGH8,"Dhelpra ende ish tu prit mos Po I bien dashit.
Sinqert nuk e kuptoj kete vete besim
Ldk ka vdek
Ather Kur 
Sikur sonte Mustafa tha
Nuk bejm koalicion me pdk
Dhe te nesermen I bente temena thaqit.
I KENI pshurr qershiat amkadamik

Gjuha qe Po perdor une nuk eshte ne kulturen time
Thjesht 
U mundova me pershtat me ate te juajen
Po lutem mos te me Shani nga robte.",1,2025-01-09 10:39:19+00:00,"""Gjasat që LDK-ja t’i fitojë zgjedhjet janë shumë të mëdha"", parashikimi i Kujtim Shalës në Debat Plus",https://www.facebook.com/dukagjinidebatplus/videos/900505492296819/?comment_id=1605951016948959,https://www.facebook.com/dukagjinidebatplus/videos/900505492296819/,,0,,0,DEBAT_PLUS,,
01JH5CYK0RTDY2P6QZ4BFW7PME,Ky asht Akademik i K…t,1,2025-01-09 11:24:47+00:00,"""Gjasat që LDK-ja t’i fitojë zgjedhjet janë shumë të mëdha"", parashikimi i Kujtim Shalës në Debat Plus",https://www.facebook.com/dukagjinidebatplus/videos/900505492296819/?comment_id=1777160919800623,https://www.facebook.com/dukagjinidebatplus/videos/900505492296819/,,2,,2,DEBAT_PLUS,,
01JH5DBC6GVZTH6NBEN9Y9Q7Y5,Kan vjedh boll kta hajna,0,2025-01-09 11:31:46+00:00,Ajo e përmendi edhe ikjen nga Kuvendi e nga Prokuroria.,https://www.facebook.com/nacionalecom/posts/pfbid02LqcsdTvmb3RmeF1zo3mMxwFuZCwBB7pauXJH2M3rPzGu5X58zbW6tBh8AvGjKRwMl?comment_id=486537720745896,https://www.facebook.com/nacionalecom/posts/pfbid0GzBASnzwjeKp2Js3o52sphK4vH8241fZNGmsKnwSH4zrMMcr7jidHArKJWX7VsWRl,,2,,2,NACIONALE,,
01JH5FBSQ8Z5RSTMRWWG9J766N,Ti xhumi stmre tu e mbajt gajlën   e Kurtit  shkove posht oj pel,0,2025-01-09 12:06:57+00:00,Ajo e përmendi edhe ikjen nga Kuvendi e nga Prokuroria.,https://www.facebook.com/nacionalecom/posts/pfbid02LqcsdTvmb3RmeF1zo3mMxwFuZCwBB7pauXJH2M3rPzGu5X58zbW6tBh8AvGjKRwMl?comment_id=568102752867242,https://www.facebook.com/nacionalecom/posts/pfbid0GzBASnzwjeKp2Js3o52sphK4vH8241fZNGmsKnwSH4zrMMcr7jidHArKJWX7VsWRl,,2,,2,NACIONALE,,
01JH5H8MZRF9V10XCT8798NQW6,O shpoiun i shkive ik mos e qit veshin aty se nae gerdite edhe tv.,0,2025-01-09 12:40:11+00:00,A e mbani mend kur Kurti e ftonte në debate Hashim Thaçin?,https://www.facebook.com/nacionalecom/posts/pfbid02Xo7UjZ6Dvw1X4Y38ZC6nq2wYKW6o9CqNvLPBGsPYwwRFGSYGyWDribuMUUjYThnrl?comment_id=906978054958340,https://www.facebook.com/nacionalecom/posts/pfbid02Xo7UjZ6Dvw1X4Y38ZC6nq2wYKW6o9CqNvLPBGsPYwwRFGSYGyWDribuMUUjYThnrl,,2,,2,NACIONALE,,
01JH5HF5Z8MGZC45B43S767RNH,Rrenci baju,0,2025-01-09 12:43:45+00:00,"“Nuk po e japin garancinë që projekti të vazhdojë”/ Përparim Rama akuzon Qeverinë se po e bllokon projektin për Unazën e Kryeqytetit 

#kanal10",https://www.facebook.com/Kanal10.live/videos/1846938876148718/?comment_id=1122827502786200,https://www.facebook.com/Kanal10.live/videos/1846938876148718/,,2,,2,KANAL_10,,
01JH5JDSF0EM4AWER75AHZ2C8P,KY academic I kanalizimit I mir esht,15,2025-01-09 13:00:28+00:00,"""Pa Albin Kurtin nuk do të ketë Kosovë, do të ketë Kosovë të coptume, me pjesën ma vitale të shtetit të Kosovës. Ajo Kosovë nuk na vynë neve.""",https://www.facebook.com/nacionalecom/posts/pfbid035iswZzNoN6tkCsrTWESyHfJ6k8FXKGKNrGr7EuTAiEoTUfjUh4yGF2PKiQGPwfkyl?comment_id=2054856204953192,https://www.facebook.com/nacionalecom/posts/pfbid035iswZzNoN6tkCsrTWESyHfJ6k8FXKGKNrGr7EuTAiEoTUfjUh4yGF2PKiQGPwfkyl,,2,,2,NACIONALE,,
01JH5JH8SGK4Q07Z8MRX5HW0GE,Lej se edhe na pushojm disa dit prej rrenave.,0,2025-01-09 13:02:22+00:00,"""E ftojmë Lëvizjen Vetëvendosje që ta rishqyrtojë pozicionin e saj dhe t’u ofrojë mediave qasje të barabartë në fushatë.""",https://www.facebook.com/nacionalecom/posts/pfbid0QwG6eTVRK6S92ydMeDtQX4zsTsL8vnRNBTQ9b1wmqAw51b1irM7kssQUebmmntsal?comment_id=1158414012556590,https://www.facebook.com/nacionalecom/posts/pfbid02UUuHZd7nAC6frozFAEXCdr6VNSFWtd6MXQgBvWDr5zTD9ZMpQu1Hiv53VhM5sfVCl,,2,,2,NACIONALE,,
01JH5M5HMRDVF5T8G4S0PMGBP3,Pse i kihet nana ska me ti dhane pytje qeta me mi ba .,0,2025-01-09 13:30:55+00:00,A e mbani mend kur Kurti e ftonte në debate Hashim Thaçin?,https://www.facebook.com/nacionalecom/posts/pfbid02Xo7UjZ6Dvw1X4Y38ZC6nq2wYKW6o9CqNvLPBGsPYwwRFGSYGyWDribuMUUjYThnrl?comment_id=1599263144029976,https://www.facebook.com/nacionalecom/posts/pfbid02Xo7UjZ6Dvw1X4Y38ZC6nq2wYKW6o9CqNvLPBGsPYwwRFGSYGyWDribuMUUjYThnrl,,2,,2,NACIONALE,,
01JH5MN8JGJVW76154B93NK7A7,Skan qka me prezentu skan guxim per ballafaqim deshtime ne te gjitha segmentèt,0,2025-01-09 13:39:30+00:00,A e mbani mend kur Kurti e ftonte në debate Hashim Thaçin?,https://www.facebook.com/nacionalecom/posts/pfbid02Xo7UjZ6Dvw1X4Y38ZC6nq2wYKW6o9CqNvLPBGsPYwwRFGSYGyWDribuMUUjYThnrl?comment_id=1604125723804566,https://www.facebook.com/nacionalecom/posts/pfbid02Xo7UjZ6Dvw1X4Y38ZC6nq2wYKW6o9CqNvLPBGsPYwwRFGSYGyWDribuMUUjYThnrl,,2,,2,NACIONALE,,
